Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Description__c,Private__c,Resource_Type__c,Source__c,Url__c,Valid_Until__c
a001k000002gG1MAAU,0051k000002Vkr6AAC,,1-feature platform demos contributors,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-03-04T18:50:31.000+0000,2020-03-04T18:50:31.000+0000,Chatter Group.  You're here because you're the kind of people who might 1) make demos 2) make variants of demos 3 ) make demo videos 4) give feedback on outlines & videos.,,Chatter Group,Org62,https://org62.lightning.force.com/lightning/r/CollaborationGroup/0F90M000000brVjSAI/view,
a001k000002gG1NAAU,0051k000002Vkr6AAC,,Demo Community - 2 Minute Demos,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:39.000+0000,2020-02-25T16:26:39.000+0000,Community site set up to give videos and quick demos.   Documentation and source code is also included.,,Portal,Shane McLaughlin - 1-feature platform demos contributors,https://www.platformdemos.com/s/,
a001k000002gG1OAAU,0051k000002Vkr6AAC,,Salesforce Architect Journey - Trailhead,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-03-11T16:13:23.000+0000,2020-03-11T16:13:23.000+0000,"Salesforce architect credentials comprise three tiers of certification that recognize specialized knowledge and skills, as well as your growing expertise in the Salesforce platform:
The Salesforce Architecture Designer credentials validate knowledge and expertise in particular specializations.
The Salesforce Application Architect and System Architect certifications recognize professionals who possess expertise in a domain area.
The Salesforce Technical Architect (CTA) credential is the pinnacle certification for those who demonstrate the knowledge, skills, and capabilities to design and build high-performance technical solutions on the Salesforce platform across all areas of domain expertise.",,Trail,,https://trailhead.salesforce.com/credentials/architectoverview,
a001k000002gG1PAAU,0051k000002Vkr6AAC,,LWC Playground in Quip,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:39.000+0000,2020-02-25T16:26:39.000+0000,This is a really cool feature in quip where you can show off LWC code in a quip document.,1,Demo,Org62,https://salesforce.quip.com/MAgnAR2UiZuf,
a001k000002gG1QAAU,0051k000002Vkr6AAC,,Solutions Hub - Amer Commercial (+Asset Search),2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-03-13T19:56:56.000+0000,0051k000002Vkr6AAC,2020-03-13T19:56:56.000+0000,,2020-03-16T13:26:37.000+0000,2020-03-16T13:26:37.000+0000,"The AMER Commercial Solutions Hub is a collection of resources that we've curated to help you team better, grow your career, and stay updated with what's happening in our organization. As the most trusted, innovative, and engaged Solutions team, we inspire, transform, and ensure the success of our customers with high-value solutions. The resources in this Hub help us align our daily work to our Vision and Values. We hope that this will become your ""go-to"" resource for all things Commercial Solutions related. Thank you for visiting!",,Portal,,https://solutionshub.force.com/s/,
a001k000002gG1RAAU,0051k000002Vkr6AAC,,Solutions Central,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-03-04T18:50:30.000+0000,2020-03-04T18:50:30.000+0000,"*Solutions Central* (https://solutionscentral.io/) (formerly the Demo Center) is the global, central, content repository for Salesforce where you can find community-sourced content, industry and product content, demo tools and support, demo tips and tricks, design assets, and more. The content is primarily sourced by the Solutions Engineering org and was visited by over 16,000 employees in FY19.",,Portal,,https://solutionscentral.io/,
a001k000002gG1SAAU,0051k000002Vkr6AAC,,Solutions Manufacturing Cloud Section,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:39.000+0000,2020-02-25T16:26:39.000+0000,,,Portal,Solution Central,https://solutionscentral.io/topics/d0139440-f688-11e9-aee1-8f1d69b0d34b/manufacturing/,
a001k000002gG1TAAU,0051k000002Vkr6AAC,,How to Debug LWC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:39.000+0000,2020-02-25T16:26:39.000+0000,How to Debug Lightning Web Components,,Documentation,,https://developer.salesforce.com/blogs/2019/02/debug-your-lightning-web-components.html,
a001k000002gG1UAAU,0051k000002Vkr6AAC,,Training Catalog,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:39.000+0000,2020-02-25T16:26:39.000+0000,Complete list of training offered by Salesforce.  You have to use your Org62 Login (Not Aloha) or else it will cost you money.  :),,Portal,Thanks Bret!,https://help.salesforce.com/htsctrainingcatalog#f:@sflanguage=[en_US],
a001k000002gG1VAAU,0051k000002Vkr6AAC,,Topic:  Certified Sharing and Visibility Designer,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-28T01:03:50.000+0000,2020-02-28T01:03:50.000+0000,Good Materials about this test.,,Chatter Post,Org62,https://org62.lightning.force.com/lightning/r/Topic/0TO0M000000EIdxWAG/view,
a001k000002gG1WAAU,0051k000002Vkr6AAC,,Salesforce Certification Employee Discounts,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:39.000+0000,2020-02-25T16:26:39.000+0000,Select exams for which you need a code and then submit your request. An email will be sent to your Salesforce email address with the code(s) requested.,,Portal,Concierge!,https://drm.secure.force.com/voucherredemption,
a001k000002gG1XAAU,0051k000002Vkr6AAC,,Sharing and Visibility Designer Study Guide,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-28T01:05:12.000+0000,0051k000002Vkr6AAC,2020-02-28T01:05:12.000+0000,,2020-02-28T01:05:12.000+0000,2020-02-28T01:05:12.000+0000,Study Guide from Chris McKrill to study for Sharing Cert,,Study Guide,Chris McKrill,https://docs.google.com/document/d/1lYUWfYM7XoAILwEQL7mulGinVUV9OuodFP82ndsITCI/edit,
a001k000002gG1YAAU,0051k000002Vkr6AAC,,Apex Developer Guide,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:39.000+0000,2020-02-25T16:26:39.000+0000,,,Documentation,,https://developer.salesforce.com/docs/atlas.en-us.apexcode.meta/apexcode/apex_dev_guide.htm,
a001k000002gG1ZAAU,0051k000002Vkr6AAC,,Platform First Call Deck - FY21,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-03-12T01:33:34.000+0000,0051k000002Vkr6AAC,2020-03-12T01:33:34.000+0000,,2020-03-12T01:33:34.000+0000,2020-03-12T01:33:34.000+0000,,,Slides / Powerpoint,,http://sfdc.co/platformfirstcalldeck,2021-01-31
a001k000002gG1aAAE,0051k000002Vkr6AAC,,Development Lifecycle and Deployment Designer Study Guide,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-28T01:05:03.000+0000,0051k000002Vkr6AAC,2020-02-28T01:05:03.000+0000,,2020-03-04T02:11:57.000+0000,2020-03-04T02:11:57.000+0000,Study guide for Certification,,Study Guide,Andy Anderson,https://docs.google.com/document/d/14zqwsmPf-urgF5JZTybfRRf6ETIYHik_e3aayDmsxjI/edit,
a001k000002gG1bAAE,0051k000002Vkr6AAC,,Customer 360 Data Manager Demo Snapshot,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:39.000+0000,2020-02-25T16:26:39.000+0000,"Quick and dirty demo overview for internal purposes only. How to use the pre-loaded data assets to build the ""global party id"" - a look at the source files and outputs.",,Video,,http://salesforce.vidyard.com/watch/UwibQM8xAtve3VCoWNhMje,
a001k000002gG1cAAE,0051k000002Vkr6AAC,,Web Assessor - Certification Test Taking Home,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:39.000+0000,2020-02-25T16:26:39.000+0000,Sign up for Certs here,,Portal,,https://www.webassessor.com/wa.do?page=publicHome&branding=SALESFORCE,
a001k000002gG1dAAE,0051k000002Vkr6AAC,,External Identity Pricing & FAQ,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:39.000+0000,2020-02-25T16:26:39.000+0000,,,Licensing / Pricing (SKU),,https://salesforce.quip.com/veDeAhGra94V,
a001k000002gG1eAAE,0051k000002Vkr6AAC,,Price List - Live,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-03-10T19:50:11.000+0000,2020-03-10T19:50:11.000+0000,,,Licensing / Pricing (SKU),Bret gave it to me,https://sfdc-ww-pricelist-web-prod.sfdc.sh/home,
a001k000002gG1fAAE,0051k000002Vkr6AAC,,Lightning Web Components (LWC) Placemat,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:39.000+0000,2020-02-25T16:26:39.000+0000,"Lightning Component Assets.  Decks, Videos, Enablement",,Documentation,,https://salesforce.quip.com/UpbcAUl4iDHi,
a001k000002gG1gAAE,0051k000002Vkr6AAC,,LWC Trailmix,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:40.000+0000,2020-02-25T16:26:40.000+0000,Great Lightning Web Component Trailmix produced by Salesforce Trailhead,,Trail,Salesforce Trailhead,http://sforce.co/lwc,
a001k000002gG1hAAE,0051k000002Vkr6AAC,,Designing Lightning Pages for Scale,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:40.000+0000,2020-02-25T16:26:40.000+0000,"This blog post provides guidance to architects, developers, and administrators in creating and designing Lightning pages that scale and perform well. Where we used to have Visualforce and multi-page applications, we now have Lightning Web Components (LWC) and single-page (single page) applications (SPA).",,Other,Blog Post,https://developer.salesforce.com/blogs/2020/02/designing-lightning-pages-for-scale.html,
a001k000002gG1iAAE,0051k000002Vkr6AAC,,Data Migration Plugin for CLI - Dx,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,0051k000002Vkr6AAC,2020-02-25T16:26:39.000+0000,,2020-02-25T16:26:40.000+0000,2020-02-25T16:26:40.000+0000,"SFDX plugin to dump/load record data to/from CSV files to easily migrate data between orgs

sfdx-migration-automatic",,Code,GitHub,https://github.com/stomita/sfdx-migration-automatic,
a001k000002gLsuAAE,0051k000002Vkr6AAC,,Wade's Thoughts,2020-02-26T18:09:32.000+0000,0051k000002Vkr6AAC,2020-02-26T18:09:32.000+0000,0051k000002Vkr6AAC,2020-02-26T18:09:32.000+0000,,2020-02-27T19:44:44.000+0000,2020-02-27T19:44:44.000+0000,"Here are some unedited thoughts, shared when I have the time and something to say. (Inspired by and unscrupulously copied from https://quip.com/ooyJAACzC6na, which you should absolutely check out.)",,Other,Wade Wegner,https://salesforce.quip.com/Vb1AAPTsvIU5,
a001k000002gLsBAAU,0051k000002Vkr6AAC,,Einstein Vision and Language Playground,2020-02-26T17:14:01.000+0000,0051k000002Vkr6AAC,2020-02-26T17:14:01.000+0000,0051k000002Vkr6AAC,2020-02-26T17:14:01.000+0000,,2020-02-26T18:08:41.000+0000,2020-02-26T18:08:41.000+0000,An org Shane McGlauphlin created that is total push button!,,Demo,Org62,https://hosted-scratch.herokuapp.com/launch?template=https://github.com/mshanemc/evlpg-demo,
a001k000002gROcAAM,0051k000002Vkr6AAC,,Integral,2020-02-28T00:35:49.000+0000,0051k000002Vkr6AAC,2020-02-28T00:36:16.000+0000,0051k000002Vkr6AAC,2020-02-28T00:36:16.000+0000,,2020-03-12T02:06:28.000+0000,2020-03-12T02:06:28.000+0000,"Peter O'Connell1h
Does anyone know of a partner that’s good with identity connect?
Samuel Morin
Samuel Morin43m
Peter O'Connell. http://www.identigral.com/
Identigral, Inc. - Identity and Access Management Experts
http://www.identigral.com/
👍
1
They saved an account for us at BCD Travel
It was a complex external identity implementation so I’m guessing identity connect is in their wheelhouse",,Partner,Platform Business Up Front,http://www.identigral.com/,
a001k000002ga4RAAQ,0051k000002Vkr6AAC,,Blockchain Enabled Org using a Scratch Org,2020-03-04T18:48:06.000+0000,0051k000002Vkr6AAC,2020-03-04T18:48:06.000+0000,0051k000002Vkr6AAC,2020-03-04T18:48:06.000+0000,,2020-03-04T18:50:24.000+0000,2020-03-04T18:50:24.000+0000,,,Examples,Dan Harrison Chatter Post,http://sfdc.co/BlockchainScratchOrg,
a001k000002guBWAAY,0051k000002Vkr6AAC,,Product Chart - SKU Hierarchy,2020-03-09T17:08:03.000+0000,0051k000002Vkr6AAC,2020-03-09T17:08:03.000+0000,0051k000002Vkr6AAC,2020-03-09T17:08:03.000+0000,,2020-03-10T13:49:12.000+0000,2020-03-10T13:49:12.000+0000,,,Licensing / Pricing (SKU),,http://productchart.hk.salesforce.com/index.html,
a001k000002h1ZxAAI,0051k000002Vkr6AAC,,Architecture Study Guides,2020-03-11T16:15:25.000+0000,0051k000002Vkr6AAC,2020-03-11T16:15:25.000+0000,0051k000002Vkr6AAC,2020-03-11T16:15:25.000+0000,,2020-03-11T16:15:25.000+0000,2020-03-11T16:15:25.000+0000,Andy's Architecture Guides - Folder with 5 separate guides!,,Study Guide,Andy Anderson,https://drive.google.com/drive/folders/1SiqDUDaYrScP7Zk5cAcrif5LQAndS6g2,
a001k000002gZWTAA2,0051k000002Vkr6AAC,,Integration and Architecture Designer Certification - Study Guide,2020-03-04T02:30:35.000+0000,0051k000002Vkr6AAC,2020-03-04T02:30:35.000+0000,0051k000002Vkr6AAC,2020-03-04T02:30:35.000+0000,,2020-03-04T02:30:36.000+0000,2020-03-04T02:30:36.000+0000,,,Study Guide,Andy Anderson,https://docs.google.com/document/d/1V6xGGzQkek_DvbQMVprt8nmP8NT3ZyPjM4l3TYrs2-c,
a001k000002h5ocAAA,0051k000002Vkr6AAC,,FY21 Platform SKUs Onion Slides,2020-03-12T01:15:19.000+0000,0051k000002Vkr6AAC,2020-03-12T01:33:34.000+0000,0051k000002Vkr6AAC,2020-03-12T01:33:34.000+0000,,2020-03-12T01:33:34.000+0000,2020-03-12T01:33:34.000+0000,"SKU-at-a-glance slides have a lot of complexity, and may not be current with new SKUs and license names. This refreshed look & data were a summer 2019 project of the CBU Platform Technical Services Futureforce Intern, Charles Wolloch.
Use these new slides as a conversational tool to clarify which license includes what kind of object access. Note that they are approximate, not a source of truth; please refer to the User License Comparison to resolve confusion.
Bundle SKUs (Employee Experience) are not reflected in these slides. The slides reflect EE/UE configurations and do not include PE or Essentials.
These slides will evolve and change over time, so please refer back to this master (copy with links in Google Slides) to make sure your view stays up to date.
Questions? Email Mike Rose.",,Licensing / Pricing (SKU),Mike Rose,https://docs.google.com/presentation/d/1VT7gUcBIctgxWskW4tVoglgORXMMSs5HtmOl65QMrks/edit#slide=id.g609f0900dc_11_0,2021-01-31
a001k000002h5omAAA,0051k000002Vkr6AAC,,FY21 - MGM Technical Architects,2020-03-12T01:18:08.000+0000,0051k000002Vkr6AAC,2020-03-12T01:32:56.000+0000,0051k000002Vkr6AAC,2020-03-12T01:32:56.000+0000,,2020-03-16T13:26:50.000+0000,2020-03-16T13:26:50.000+0000,"Architecture, Platform and everything else under the hood
Hemphill's team introduction - What do TAs do?  How are they different from Platform SEs",,Slides / Powerpoint,Chris Hemphill,https://docs.google.com/presentation/d/1HsXYc4LGHdD75t45bwI_xhiqF8uaVwsNJ98uEahHu1s/edit?ts=5e5fe2dc#slide=id.g6b8045900b_102_973,2021-01-31
